<document LANG='eng'>	XMLCODE	NULL		0				Z99	NULL	04:10	
<FRONT>	XMLCODE	NULL		0				Z99	NULL	04:10	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
Imprimatur	imprimatur	VV0		0				Z99	04:10	ZZ	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
</P>	XMLCODE	NULL		0				Z99	NULL	04:10	
<CLOSER>	XMLCODE	NULL		0				Z99	NULL	04:10	
Ex	ex	II		0			Grammatical	Z5	04:03	ZC	
Aed	aed	JJ		0				Z99	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Sab:	sab:	NP1		0				Z99	NULL	04:10	
11	11	MC	T1:2 T3	0			Number	N1	01:16:04	AP:04	
Sept:	sept:	NPM1		0				Z99	NULL	04:10	
1662	1662	MC	T1:2 T3	0			Number	N1	01:16:04	AP:04	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Geo	geo	NN1		0				W3	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Straddling	straddling	NP1		0				Z99	NULL	04:10	Stradling
S:	s:	NP1		0				Z99	NULL	04:10	
Th	th	NP1		0				Z99	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
P:	p:	NP1		0				Z99	NULL	04:10	
Rev:	rev:	NNU		0				Z99	03:08:03:05-13	BF:23:d	
in	in	II		0			Grammatical	Z5	04:03	ZC	
Xto	xto	NP1		0				Z99	NULL	04:10	
Pat	pat	NP1		0				Z1mf	04:01:01	ZA01	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Gilb	gilb	VV0		0				Z99	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Episc	episc	NN1		0				Z99	NULL	04:10	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Land	land	NN1	M7	0	01:01:04:01 01:01:04:02	AA:03 AA:03	Land	W3	01:01:04	AA:03	Lond
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Sac	sac	NN1		0	03:05:11-06 01:06:10:01-06	BC:08 AF:10	cyst	B1	01:03:01:04:06-09	AC:01:a	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
Domestic	domestic	JJ	S4 E3+/L2	0	03:02:07:01:01-03 01:15:21:03-13:04:02	AZ:06:a AO:22:b	Domesticated/tame	H4	01:05:07	AE:03	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
</CLOSER>	XMLCODE	NULL		0				Z99	NULL	04:10	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
CHOREA	chorea	NP1		0				Z99	NULL	04:10	
GIGANTUM	gigantum	NP1		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
OR	or	CC		0				Z5	04:03	ZC	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
The	the	AT		0			Grammatical	Z5	04:03	ZC	
most	most	RGT		0	01:16:02:01-01 01:16:01:09-10	AP:02:a AP:01:i	almost/nearly	A13:2	01:16:06:03:01-09	AP:06:a:01	
Famous	famous	JJ		0	01:15:21:03-12 01:16:02:01-08:02	AO:22:b AP:02:a	Famous/eminent	X2:2+	02:02:09:05:03:01	AS:13:a:01	
Antiquity	antiquity	NN1		0	01:02:01:06:04 01:13:08:04-03:03:01	AB:03 AM:08:c		T3+++	01:13:08:04:01-04	AM:08:c:01	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
GREAT-BRITAN	great-britan	NN1		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
